category,baseline,K,split,auc_mean,auc_std,ap_mean,ap_std,p_at_k_mean,p_at_k_std,neg_ratio,seeds
Home_and_Kitchen,CN,200,warm,0.7227808290720429,0.006218067250451667,0.745344666334019,0.007508627875796701,0.899,0.012942179105544795,1.0,"42,43,44,45,46"
Home_and_Kitchen,CN,500,warm,0.7227808290720429,0.006218067250451667,0.745344666334019,0.007508627875796701,0.7859999999999999,0.009055385138137424,1.0,"42,43,44,45,46"
Home_and_Kitchen,Jaccard,10,cold,0.5,0.0,0.5,0.0,0.0,0.0,1.0,"42,43,44,45,46"
Home_and_Kitchen,Jaccard,10,warm,0.5812183751044996,0.006200053176251154,0.5923157396390669,0.008953658985594023,0.13999999999999999,0.05477225575051661,1.0,"42,43,44,45,46"
Home_and_Kitchen,Jaccard,20,cold,0.5,0.0,0.5,0.0,0.0,0.0,1.0,"42,43,44,45,46"
Home_and_Kitchen,Jaccard,20,warm,0.5812183751044996,0.006200053176251154,0.5923157396390669,0.008953658985594023,0.37,0.130384048104053,1.0,"42,43,44,45,46"
Home_and_Kitchen,Jaccard,50,cold,0.5,0.0,0.5,0.0,0.08,0.0,1.0,"42,43,44,45,46"
Home_and_Kitchen,Jaccard,50,warm,0.5812183751044996,0.006200053176251154,0.5923157396390669,0.008953658985594023,0.6000000000000001,0.031622776601683784,1.0,"42,43,44,45,46"
Home_and_Kitchen,Jaccard,100,warm,0.5812183751044996,0.006200053176251154,0.5923157396390669,0.008953658985594023,0.674,0.03435112807463532,1.0,"42,43,44,45,46"
Home_and_Kitchen,Jaccard,200,warm,0.5812183751044996,0.006200053176251154,0.5923157396390669,0.008953658985594023,0.709,0.00961769203083568,1.0,"42,43,44,45,46"
Home_and_Kitchen,Jaccard,500,warm,0.5812183751044996,0.006200053176251154,0.5923157396390669,0.008953658985594023,0.6556000000000001,0.010039920318408915,1.0,"42,43,44,45,46"
Home_and_Kitchen,PA,10,cold,0.5,0.0,0.5,0.0,0.0,0.0,1.0,"42,43,44,45,46"
Home_and_Kitchen,PA,10,warm,0.7686831991337769,0.00759993287631695,0.7743446981105448,0.010641360735142413,0.9,0.12247448713915893,1.0,"42,43,44,45,46"
Home_and_Kitchen,PA,20,cold,0.5,0.0,0.5,0.0,0.0,0.0,1.0,"42,43,44,45,46"
Home_and_Kitchen,PA,20,warm,0.7686831991337769,0.00759993287631695,0.7743446981105448,0.010641360735142413,0.9100000000000001,0.04183300132670376,1.0,"42,43,44,45,46"
Home_and_Kitchen,PA,50,cold,0.5,0.0,0.5,0.0,0.08,0.0,1.0,"42,43,44,45,46"
Home_and_Kitchen,PA,50,warm,0.7686831991337769,0.00759993287631695,0.7743446981105448,0.010641360735142413,0.916,0.04335896677735758,1.0,"42,43,44,45,46"
Home_and_Kitchen,PA,100,warm,0.7686831991337769,0.00759993287631695,0.7743446981105448,0.010641360735142413,0.916,0.02073644135332771,1.0,"42,43,44,45,46"
Home_and_Kitchen,PA,200,warm,0.7686831991337769,0.00759993287631695,0.7743446981105448,0.010641360735142413,0.8760000000000001,0.018841443681416787,1.0,"42,43,44,45,46"
Home_and_Kitchen,PA,500,warm,0.7686831991337769,0.00759993287631695,0.7743446981105448,0.010641360735142413,0.8019999999999999,0.00871779788708131,1.0,"42,43,44,45,46"
